date,ans,wti,henry_hub,brent,production
11/17/2001,,,,,"1,078,864"
11/18/2001,,,,,"1,059,634"
11/19/2001,15.27,17.72,,,"1,047,771"
11/20/2001,16.05,18.55,,,"1,039,693"
11/21/2001,15.46,17.96,,,"1,049,154"
11/22/2001,,,,,"1,045,048"
11/23/2001,,,,,"1,053,592"
11/24/2001,,,,,"1,067,741"
11/25/2001,,,,,"1,050,109"
11/26/2001,16.19,18.69,,,"1,041,377"
11/27/2001,16.93,19.48,,,"1,042,424"
11/28/2001,16.67,19.22,,,"1,039,909"
11/29/2001,16.07,18.62,,,"1,029,671"
11/30/2001,16.89,19.44,,,"1,028,970"
12/1/2001,,,,,"1,048,375"
12/2/2001,,,,,"1,054,100"
12/3/2001,17.54,20.09,,,"1,054,142"
12/4/2001,17.10,19.65,,,"1,044,564"
12/5/2001,16.94,19.49,,,"983,152"
12/6/2001,15.99,18.54,,,"1,044,906"
12/7/2001,16.49,19.04,,,"1,009,174"
12/8/2001,,,,,"1,064,988"
12/9/2001,,,,,"1,067,290"
12/10/2001,15.82,18.37,,,"1,081,949"
12/11/2001,15.43,18.08,,,"1,083,893"
12/12/2001,15.71,18.36,,,"1,073,148"
12/13/2001,15.47,18.12,,,"1,051,041"
12/14/2001,16.58,19.23,,,"1,081,008"
12/15/2001,,,,,"1,087,561"
12/16/2001,,,,,"1,098,898"
12/17/2001,16.57,19.22,,,"1,100,013"
12/18/2001,16.71,19.36,,,"1,078,261"
12/19/2001,16.55,19.20,,,"1,084,802"
12/20/2001,15.85,18.50,,,"1,094,031"
12/21/2001,16.05,18.70,,,"1,083,622"
12/22/2001,,,,,"1,083,474"
12/23/2001,,,,,"1,089,107"
12/24/2001,,,,,"1,094,521"
12/25/2001,,,,,"1,094,957"
12/26/2001,18.62,21.27,,,"1,076,144"
12/27/2001,18.25,20.90,,,"1,036,316"
12/28/2001,17.76,20.41,,,"1,034,577"
12/29/2001,,,,,"1,076,991"
12/30/2001,,,,,"1,097,617"
12/31/2001,17.19,19.84,,,"1,088,796"
1/1/2002,,,,,"1,086,577"
1/2/2002,18.36,21.01,,,"1,082,224"
1/3/2002,17.72,20.37,,,"1,087,587"
1/4/2002,18.97,21.62,,,"1,053,105"
1/5/2002,,,,,"1,057,420"
1/6/2002,,,,,"1,059,072"
1/7/2002,19.00,21.48,,,"1,075,331"
1/8/2002,18.77,21.25,,,"1,068,039"
1/9/2002,17.70,20.18,,,"1,046,257"
1/10/2002,18.38,20.38,,,"1,065,438"
1/11/2002,17.68,19.68,,,"1,068,933"
1/12/2002,,,,,"1,058,355"
1/13/2002,,,,,"1,075,813"
1/14/2002,16.89,18.89,,,"1,062,667"
1/15/2002,16.90,18.90,,,"1,035,671"
1/16/2002,16.86,18.86,,,"1,020,178"
1/17/2002,15.97,17.97,,,"1,023,421"
1/18/2002,16.00,18.00,,,"1,043,429"
1/19/2002,,,,,"1,028,424"
1/20/2002,,,,,"1,055,902"
1/21/2002,,,,,"1,040,950"
1/22/2002,16.34,18.34,,,"1,059,145"
1/23/2002,17.20,19.20,,,"1,039,780"
1/24/2002,17.40,19.40,,,"1,063,036"
1/25/2002,17.72,19.72,,,"1,069,114"
1/26/2002,,,,,"1,018,256"
1/27/2002,,,,,"1,061,467"
1/28/2002,18.05,20.05,,,"1,057,818"
1/29/2002,17.58,19.58,,,"1,058,018"
1/30/2002,17.08,19.08,,,"1,053,633"
1/31/2002,17.48,19.48,,,"1,067,827"
2/1/2002,18.38,20.38,,,"1,065,232"
2/2/2002,,,,,"1,070,459"
